timestamp,open,high,low,close,volume
2023-09-25 00:00:00+00:00,208.3,210.6,206.5,209.9,272401.465
2023-09-26 00:00:00+00:00,210.0,213.7,209.7,212.6,280709.589
2023-09-27 00:00:00+00:00,212.6,216.0,210.5,212.0,409367.397
2023-09-28 00:00:00+00:00,212.1,217.0,211.5,215.0,394085.543
2023-09-29 00:00:00+00:00,215.0,217.6,214.3,215.2,371923.961
2023-09-30 00:00:00+00:00,215.2,216.5,214.1,214.6,179075.156
2023-10-01 00:00:00+00:00,214.6,219.4,213.1,218.2,415044.578
2023-10-02 00:00:00+00:00,218.2,221.6,213.1,214.6,565949.136
2023-10-03 00:00:00+00:00,214.6,215.8,212.4,213.5,294511.083
2023-10-04 00:00:00+00:00,213.5,213.8,210.8,213.4,328882.49
2023-10-05 00:00:00+00:00,213.4,213.9,210.2,210.6,259374.039
2023-10-06 00:00:00+00:00,210.7,214.6,210.1,213.4,258866.553
2023-10-07 00:00:00+00:00,213.4,213.8,211.5,212.3,125590.792
2023-10-08 00:00:00+00:00,212.2,212.8,208.8,211.4,225258.305
2023-10-09 00:00:00+00:00,211.3,212.2,202.0,205.8,572318.205
2023-10-10 00:00:00+00:00,205.9,213.1,205.5,208.6,577725.014
2023-10-11 00:00:00+00:00,208.6,208.8,204.3,206.6,397200.817
2023-10-12 00:00:00+00:00,206.6,207.3,202.8,205.1,355516.958
2023-10-13 00:00:00+00:00,205.1,208.3,204.3,206.1,331300.92
2023-10-14 00:00:00+00:00,206.1,207.1,205.7,206.5,142741.132
2023-10-15 00:00:00+00:00,206.5,213.0,206.3,209.7,365630.554
2023-10-16 00:00:00+00:00,209.8,219.0,209.6,214.6,773179.81
2023-10-17 00:00:00+00:00,214.7,215.0,209.0,211.4,372808.016
2023-10-18 00:00:00+00:00,211.4,213.9,209.9,210.2,260942.338
2023-10-19 00:00:00+00:00,210.3,211.5,208.2,211.2,274491.489
2023-10-20 00:00:00+00:00,211.2,216.6,210.5,212.1,344927.206
2023-10-21 00:00:00+00:00,212.1,215.8,211.4,214.2,263182.512
2023-10-22 00:00:00+00:00,214.2,218.4,213.6,217.8,291845.069
2023-10-23 00:00:00+00:00,217.8,231.0,216.9,228.5,841393.165
2023-10-24 00:00:00+00:00,228.6,238.1,221.2,225.2,1011409.17
2023-10-25 00:00:00+00:00,225.2,229.1,221.5,222.1,624789.777
2023-10-26 00:00:00+00:00,222.1,228.1,219.2,223.2,726200.668
2023-10-27 00:00:00+00:00,223.2,231.6,219.9,224.1,970917.489
2023-10-28 00:00:00+00:00,224.2,228.4,224.1,225.7,347691.437
2023-10-29 00:00:00+00:00,225.7,228.1,223.6,227.1,269033.796
2023-10-30 00:00:00+00:00,227.1,229.2,224.6,228.0,397120.276
2023-10-31 00:00:00+00:00,228.0,229.3,223.9,226.2,465273.268
2023-11-01 00:00:00+00:00,226.3,229.5,222.3,227.9,578647.208
2023-11-02 00:00:00+00:00,228.0,233.7,227.5,231.9,829216.687
2023-11-03 00:00:00+00:00,231.9,232.4,225.6,230.2,501371.786
2023-11-04 00:00:00+00:00,230.3,238.7,229.3,237.1,391480.947
2023-11-05 00:00:00+00:00,237.2,245.5,236.1,244.0,613299.473
2023-11-06 00:00:00+00:00,244.0,256.1,241.5,255.1,844924.324
2023-11-07 00:00:00+00:00,255.1,255.6,242.1,246.2,865045.808
2023-11-08 00:00:00+00:00,246.2,248.3,244.0,246.7,500403.192
2023-11-09 00:00:00+00:00,246.7,255.9,240.0,251.6,1320420.474
2023-11-10 00:00:00+00:00,251.7,258.0,248.1,251.0,814936.218
2023-11-11 00:00:00+00:00,251.1,255.2,246.0,251.5,738756.911
2023-11-12 00:00:00+00:00,251.6,252.0,244.5,247.4,637126.209
2023-11-13 00:00:00+00:00,247.5,250.2,240.3,241.1,953917.532
2023-11-14 00:00:00+00:00,241.1,249.4,233.7,242.3,992864.124
2023-11-15 00:00:00+00:00,242.3,254.5,242.1,253.7,911316.433
2023-11-16 00:00:00+00:00,253.7,256.0,240.0,242.7,1090149.24
2023-11-17 00:00:00+00:00,242.7,245.9,238.3,244.9,757117.698
2023-11-18 00:00:00+00:00,244.9,245.2,238.5,244.8,485737.217
2023-11-19 00:00:00+00:00,244.8,246.9,241.8,246.4,379101.104
2023-11-20 00:00:00+00:00,246.5,268.4,238.6,253.1,1523794.58
2023-11-21 00:00:00+00:00,253.1,271.9,224.0,225.5,4050392.778
2023-11-22 00:00:00+00:00,225.5,238.5,224.6,236.1,1791363.245
2023-11-23 00:00:00+00:00,236.2,239.2,230.2,233.8,718114.377
2023-11-24 00:00:00+00:00,233.8,236.7,231.6,232.7,616904.315
2023-11-25 00:00:00+00:00,232.8,235.7,232.1,234.4,313338.264
2023-11-26 00:00:00+00:00,234.5,234.5,227.9,231.7,437624.722
2023-11-27 00:00:00+00:00,231.8,232.9,222.5,227.2,831147.034
